,id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
0,15,yes,no,11.95,25,0.14,0,8.4,2.3,0,0
1,18,no,no,8.22,0,,0,0.0,0.0,0,1
2,23,yes,no,8.91,16,0.0,0,13.7,0.9,0,1
3,27,no,no,6.87,21,,1,0.0,0.0,0,1
4,34,no,no,6.39,0,,0,0.0,0.0,0,1
5,56,yes,yes,11.94,32,1.38,0,69.4,4.0,0,0
6,71,no,no,8.96,18,0.0,0,21.3,2.0,0,1
7,84,no,no,5.48,14,,1,0.0,0.0,0,1
8,94,no,no,8.54,0,,0,0.0,0.0,0,1
9,112,no,no,8.33,0,,0,0.0,0.0,0,1
10,166,yes,yes,8.44,17,0.0,0,9.9,1.1,0,1
11,174,yes,yes,11.93,10,1.28,0,10.6,0.6,0,0
12,213,no,no,6.64,10,,0,0.0,0.0,0,1
13,222,no,no,5.53,14,,0,0.0,0.0,0,1
14,270,no,no,6.97,23,0.28,0,0.0,0.0,0,1
15,288,yes,yes,11.93,18,1.8,0,1.0,0.0,0,0
16,291,yes,no,11.93,22,0.01,1,10.6,2.4,0,0
17,417,no,no,6.45,40,,0,0.0,0.0,0,1
18,475,no,no,6.81,14,,0,0.0,0.0,0,1
19,507,yes,yes,11.93,65,0.21,0,116.8,12.1,0,0
20,530,no,no,5.95,0,,0,0.0,0.0,0,1
21,549,yes,no,11.93,24,,0,9.3,0.7,0,0
22,550,no,no,8.53,0,,0,0.0,0.0,0,1
23,600,no,no,11.93,41,,0,24.1,3.2,0,0
24,608,no,no,8.57,20,,0,0.0,0.0,0,1
25,617,no,no,11.93,21,,0,,,0,0
26,642,no,no,5.21,14,,0,0.0,0.0,0,1
27,644,no,no,5.93,0,,0,0.0,0.0,0,1
28,680,no,no,7.02,13,,0,0.0,0.0,0,1
29,682,yes,no,10.93,63,0.0,0,38.1,7.9,0,1
30,683,no,no,6.03,9,,0,0.0,0.0,0,1
31,696,no,no,9.22,80,,0,235.0,6.0,0,1
32,730,no,no,5.62,0,,0,0.0,0.0,0,1
33,734,no,no,6.6,54,,0,0.0,0.0,0,1
34,774,no,no,11.12,33,,0,11.4,1.6,0,1
35,790,no,no,11.88,129,,0,125.8,9.2,0,1
36,831,no,no,5.44,18,,0,0.0,0.0,0,1
37,848,no,no,5.62,0,,0,0.0,0.0,0,1
38,861,yes,no,11.93,45,1.83,0,70.3,9.7,0,0
39,905,no,no,5.62,0,,0,0.0,0.0,0,1
40,921,yes,no,6.35,21,,0,0.0,0.0,0,1
41,928,no,no,6.64,14,,2,0.0,0.0,0,1
42,933,yes,no,5.3,79,,2,0.0,0.0,0,1
43,945,no,no,5.62,0,,0,0.0,0.0,0,1
44,977,yes,yes,11.93,16,1.82,0,19.4,1.9,0,0
45,999,no,no,5.53,13,,0,0.0,0.0,0,1
46,1006,yes,no,10.26,17,,0,0.0,0.0,0,1
47,1038,no,no,5.7,0,,0,0.0,0.0,0,1
48,1048,no,no,7.79,10,,0,0.0,0.0,0,1
49,1051,yes,yes,8.13,22,,0,10.2,7.4,0,1
50,1061,no,no,10.8,0,,0,0.0,0.0,0,1
51,1075,yes,yes,11.93,23,1.85,0,17.5,5.9,0,0
52,1151,no,no,11.93,24,,0,,,0,0
53,1162,yes,no,11.93,33,,0,40.9,2.0,0,0
54,1169,yes,yes,11.93,24,,0,,,0,0
55,1201,no,no,5.7,10,,0,0.0,0.0,0,1
